Algorithm,Data Size,Execution Time (s),Memory Usage (KB)
Bubble Sort,10000,0.147941,39.06
Bubble Sort,50000,4.634066,195.31
Bubble Sort,100000,19.469378,390.62
Bubble Sort,250000,302.081586,4881.92
Bubble Sort,500000,1266.031947,9759.83
Bubble Sort,1000000,1973.553597,3906.25
Bubble Sort,1500000,4514.231538,5859.38
Bubble Sort,2000000,9866.831524,7812.50
Selection Sort,10000,0.064669,39.06
Selection Sort,50000,1.613921,195.31
Selection Sort,100000,6.511027,390.62
Selection Sort,250000,127.390470,4881.92
Selection Sort,500000,573.455426,9759.83
Selection Sort,1000000,643.415290,3906.25
Selection Sort,1500000,1505.265511,5859.38
Selection Sort,2000000,3139.387410,7812.50
Insertion Sort,10000,0.034337,39.06
Insertion Sort,50000,0.866234,195.31
Insertion Sort,100000,3.529973,390.62
Insertion Sort,250000,64.906505,4881.92
Insertion Sort,500000,316.258539,9759.83
Insertion Sort,1000000,354.338267,3906.25
Insertion Sort,1500000,936.958840,5859.38
Insertion Sort,2000000,1768.004161,7812.50
Merge Sort,10000,0.001342,78.12
Merge Sort,50000,0.007292,390.62
Merge Sort,100000,0.015963,781.25
Merge Sort,250000,0.074311,6835.04
Merge Sort,500000,0.171699,13666.08
Merge Sort,1000000,0.176369,7812.50
Merge Sort,1500000,0.329866,11718.75
Merge Sort,2000000,0.536767,15625.00
Quick Sort,10000,0.000735,39.11
Quick Sort,50000,0.004406,195.37
Quick Sort,100000,0.009333,390.69
Quick Sort,250000,0.024743,976.63
Quick Sort,500000,0.129044,9759.97
Quick Sort,1000000,0.054870,4882.05
Quick Sort,1500000,0.199996,5859.45
Quick Sort,2000000,0.329286,7812.58
Shell Sort,10000,0.001372,39.06
Shell Sort,50000,0.008919,195.31
Shell Sort,100000,0.019426,390.62
Shell Sort,250000,0.122046,4881.92
Shell Sort,500000,0.310747,9759.83
Shell Sort,1000000,0.253695,3906.25
Shell Sort,1500000,0.510064,5859.38
Shell Sort,2000000,0.814795,7812.50
