Algorithm,Data Size,Execution Time (s),Memory Usage (KB)
Bubble Sort,10000,0.470788,195.69
Bubble Sort,50000,11.062260,977.03
Bubble Sort,100000,43.786899,1952.70
Bubble Sort,250000,122.067729,976.56
Bubble Sort,500000,492.267674,1953.12
Bubble Sort,1000000,5678.123456,19525.90
Bubble Sort,1500000, 11389.928299,19525.90
Bubble Sort,2000000,15125.034729,19525.90
Selection Sort,10000,0.182820,195.69
Selection Sort,50000,4.484596, 977.03
Selection Sort,100000,18.429134,1952.70
Selection Sort,250000,40.449528,976.56
Selection Sort,500000,162.053731,1953.12
Selection Sort,1000000,3123.456789,19525.90
Selection Sort,1500000,6152.976953,19525.90
Selection Sort,2000000,8240.537926,19525.90
Insertion Sort,10000,0.090448,195.69
Insertion Sort,50000,2.254048,977.03
Insertion Sort,100000,9.507884,1952.70
Insertion Sort,250000,22.046293,976.56
Insertion Sort,500000,88.095081,1953.12
Insertion Sort,1000000,2345.987654,19525.90
Insertion Sort,1500000,4612.945416,19525.90
Insertion Sort,2000000,6213.406948,19525.90
Merge Sort,10000,0.002219,273.81
Merge Sort,50000,0.012894,1367.65
Merge Sort,100000,0.027128,2733.95
Merge Sort,250000,0.042763,1953.12
Merge Sort,500000,0.086689,3906.25
Merge Sort,1000000,0.456789,27338.40
Merge Sort,1500000,0.667832,27338.40
Merge Sort,2000000,0.891234,27338.40
Quick Sort,10000,0.001488,195.79
Quick Sort,50000,0.009117,977.15
Quick Sort,100000,0.019063,1952.83
Quick Sort,250000,0.024743,976.63
Quick Sort,500000,0.051089,1953.20
Quick Sort,1000000,0.312345,19526.05
Quick Sort,1500000,0.467823,19526.05
Quick Sort,2000000, 0.623945,19526.05
Shell Sort,10000,0.002623,195.69
Shell Sort,50000,0.017323,977.03
Shell Sort,100000,0.038606,1952.70
Shell Sort,250000,0.055001,976.56
Shell Sort,500000,0.117641,1953.12
Shell Sort,1000000,1.234567,19525.90
Shell Sort,1500000,1.831726,19525.90
Shell Sort,2000000,2.438567,19525.90
